"y";"c";"ncomp";"nperc";"area3";"sex";"anasc";"eta";"yearedu"
38967,915547;25200;2;2;1;1;1954;60;13
52025,598472;44200;2;2;1;1;1947;67;13
25892,394881;16800;1;1;1;1;1952;62;13
110569,2892;68360;3;3;1;1;1948;66;18
30566,720197;22900;2;2;1;1;1933;81;8
80027,124839;37100;2;2;1;2;1953;61;13
30324,122058;28624;3;2;1;2;1969;45;8
30514,605769;25100;1;1;1;2;1933;81;8
21714,661126;10800;2;2;1;1;1932;82;5
28842,208016;8400;1;1;1;1;1960;54;11
15601,940449;7372;1;1;1;1;1944;70;11
19313,82433;20000;1;1;1;2;1933;81;11
52835,20644;59000;4;3;1;2;1959;55;13
41223,82433;17300;3;2;1;1;1967;47;8
17802,932225;13800;1;1;1;2;1932;82;5
14401,273561;7500;1;1;1;2;1957;57;5
25163,30563;25600;2;2;1;1;1943;71;11
43841,087532;26450;2;2;1;1;1947;67;13
107678,72724;93620;3;2;1;1;1963;51;18
6506,5975067;14100;1;1;1;2;1941;73;8
58222,430667;43000;2;1;1;1;1950;64;13
31954,975604;34400;3;2;1;2;1964;50;11
20600;17400;4;1;1;1;1967;47;8
19650;11900;2;1;1;1;1953;61;5
27710,139572;10900;2;2;1;1;1934;80;5
60536,582775;41300;3;2;1;2;1953;61;11
53482,702213;23100;2;2;1;1;1946;68;11
107872,26174;68800;3;2;1;1;1964;50;18
18494,661126;13800;1;1;1;2;1933;81;5
40617,390882;44300;4;2;1;1;1966;48;13
35184,071151;10800;2;2;1;1;1946;68;8
135930,50929;28600;2;2;1;1;1945;69;13
31386,294963;58200;3;1;1;1;1950;64;13
18539,754859;12400;1;1;1;2;1925;89;5
23057,607106;11400;2;2;1;1;1930;84;5
28831,077801;16800;2;2;1;1;1948;66;8
44921,058801;26600;2;1;1;2;1951;63;13
64758,285568;62600;2;1;1;1;1951;63;13
39423,241672;30000;2;2;1;1;1944;70;13
14144,931102;13800;1;1;1;2;1938;76;5
40331,766456;32000;2;2;1;2;1964;50;8
49544,650466;57500;2;1;1;1;1932;82;13
32207,330563;12940;2;2;1;2;1927;87;5
121608,65154;166200;4;3;1;1;1945;69;18
